Feature Name,Alpha = 800.000000,Alpha = 900.000000,Alpha = 1000.000000,Alpha = 1100.000000,Alpha = 1200.000000
Condition1_PosA,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_PosN,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_RRAe,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_RRAn,0.0,0.0,0.0,0.0,0.0
Condition1_RRNe,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_RRNn,-0.0,-0.0,-0.0,-0.0,-0.0
Condition2_Artery,0.0,0.0,0.0,0.0,0.0
Condition2_Feedr,-0.0,-0.0,-0.0,-0.0,-0.0
Condition2_Norm,0.0,0.0,0.0,0.0,0.0
Condition2_PosA,0.0,0.0,0.0,0.0,0.0
Condition2_PosN,-0.0,-0.0,-0.0,-0.0,-0.0
Condition2_RRAe,-0.0,-0.0,-0.0,-0.0,-0.0
Condition2_RRAn,-0.0,-0.0,-0.0,-0.0,-0.0
Condition2_RRNn,0.0,0.0,0.0,0.0,0.0
BldgType_1Fam,0.0,0.0,0.0,0.0,0.0
BldgType_2fmCon,0.0,0.0,0.0,0.0,0.0
BldgType_Duplex,-0.0,-0.0,-0.0,-0.0,-0.0
BldgType_Twnhs,-0.0,-0.0,-0.0,-0.0,-0.0
BldgType_TwnhsE,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_1.5Fin,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_1.5Unf,0.0,0.0,0.0,0.0,0.0
HouseStyle_1Story,0.0,0.0,0.0,0.0,0.0
HouseStyle_2.5Fin,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_2.5Unf,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_2Story,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_SFoyer,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_SLvl,-0.0,-0.0,-0.0,-0.0,-0.0
RoofStyle_Flat,-0.0,-0.0,-0.0,0.0,0.0
RoofStyle_Gable,-0.0,-0.0,-0.0,-0.0,-0.0
RoofStyle_Gambrel,0.0,0.0,0.0,0.0,0.0
RoofStyle_Hip,0.0,0.0,0.0,0.0,0.0
RoofStyle_Mansard,-0.0,-0.0,-0.0,-0.0,-0.0
RoofStyle_Shed,0.0,0.0,0.0,0.0,0.0
RoofMatl_ClyTile,-0.0,-0.0,-0.0,-0.0,-0.0
RoofMatl_CompShg,0.0,0.0,0.0,0.0,0.0
RoofMatl_Membran,0.0,0.0,0.0,0.0,0.0
RoofMatl_Metal,0.0,0.0,0.0,0.0,0.0
RoofMatl_Roll,-0.0,-0.0,-0.0,-0.0,-0.0
RoofMatl_Tar&Grv,-0.0,-0.0,-0.0,-0.0,-0.0
RoofMatl_WdShake,-0.0,-0.0,-0.0,-0.0,-0.0
RoofMatl_WdShngl,0.0,0.0,0.0,0.0,0.0
Exterior1st_AsbShng,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_AsphShn,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_BrkComm,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_BrkFace,0.0,0.0,0.0,0.0,0.0
Exterior1st_CBlock,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_CemntBd,0.0,0.0,0.0,0.0,0.0
Exterior1st_HdBoard,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_ImStucc,0.0,0.0,0.0,0.0,0.0
Exterior1st_MetalSd,0.0,0.0,0.0,0.0,0.0
Exterior1st_Plywood,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_Stone,0.0,0.0,0.0,0.0,0.0
Exterior1st_Stucco,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_VinylSd,0.0,0.0,0.0,0.0,0.0
Exterior1st_Wd Sdng,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_WdShing,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_AsbShng,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_AsphShn,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_Brk Cmn,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_BrkFace,0.0,0.0,0.0,0.0,0.0
Exterior2nd_CBlock,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_CmentBd,0.0,0.0,0.0,0.0,0.0
Exterior2nd_HdBoard,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_ImStucc,0.0,0.0,0.0,0.0,0.0
Exterior2nd_MetalSd,0.0,0.0,0.0,0.0,0.0
Exterior2nd_Other,0.0,0.0,0.0,0.0,0.0
Exterior2nd_Plywood,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_Stone,0.0,0.0,0.0,0.0,0.0
Exterior2nd_Stucco,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_VinylSd,0.0,0.0,0.0,0.0,0.0
Exterior2nd_Wd Sdng,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_Wd Shng,-0.0,-0.0,-0.0,-0.0,-0.0
MasVnrType_BrkCmn,-0.0,-0.0,-0.0,-0.0,-0.0
MasVnrType_BrkFace,-633.4219904710085,-2.675202692406672,-0.0,-0.0,-0.0
MasVnrType_None,0.0,0.0,0.0,0.0,0.0
MasVnrType_Stone,0.0,0.0,0.0,0.0,0.0
ExterQual_Ex,0.0,0.0,0.0,0.0,0.0
ExterQual_Fa,0.0,0.0,0.0,-0.0,-0.0
ExterQual_Gd,0.0,0.0,0.0,0.0,0.0
ExterQual_TA,-6642.593113258611,-6735.244886970167,-6716.730515847046,-6547.256000095343,-6361.922134317906
ExterCond_Ex,0.0,0.0,0.0,0.0,0.0
ExterCond_Fa,0.0,0.0,0.0,0.0,-0.0
ExterCond_Gd,-0.0,-0.0,-0.0,-0.0,-0.0
ExterCond_Po,0.0,0.0,0.0,0.0,0.0
ExterCond_TA,0.0,0.0,0.0,0.0,0.0
Foundation_BrkTil,-0.0,-0.0,-0.0,-0.0,-0.0
Foundation_CBlock,-0.0,-0.0,-0.0,-0.0,-0.0
Foundation_PConc,1461.7505924986435,1378.0288176836386,1264.9711434221213,1002.1615640278746,765.0397407482468
Foundation_Slab,-0.0,-0.0,-0.0,-0.0,-0.0
Foundation_Stone,-0.0,-0.0,-0.0,-0.0,-0.0
Foundation_Wood,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtQual_Ex,25372.196724419468,24870.058764917772,24410.167564751984,24109.541465602324,23721.173117160368
BsmtQual_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtQual_Gd,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtQual_TA,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtCond_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtCond_Gd,-0.0,0.0,0.0,0.0,0.0
BsmtCond_Po,0.0,0.0,0.0,0.0,0.0
BsmtCond_TA,0.0,0.0,0.0,0.0,0.0
BsmtExposure_Av,0.0,0.0,0.0,0.0,0.0
BsmtExposure_Gd,6964.685165858396,5512.041215920812,4152.421132193204,2861.333912056294,1662.306240989375
BsmtExposure_Mn,0.0,-0.0,-0.0,-0.0,-0.0
BsmtExposure_No,-5558.277439606958,-5615.746335370362,-5633.114922788363,-5724.242803500901,-5801.682428870297
BsmtFinType1_ALQ,0.0,0.0,0.0,0.0,0.0
BsmtFinType1_BLQ,0.0,0.0,0.0,0.0,0.0
BsmtFinType1_GLQ,5194.663214125438,5266.082244974909,5108.104232127988,4811.436734303209,4530.618927153232
BsmtFinType1_LwQ,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType1_Rec,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType1_Unf,-669.8731119689741,-7.722664027526948,-0.0,-0.0,-0.0
BsmtFinType2_ALQ,0.0,0.0,0.0,0.0,0.0
BsmtFinType2_BLQ,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_GLQ,0.0,0.0,0.0,0.0,0.0
BsmtFinType2_LwQ,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_Rec,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_Unf,0.0,0.0,0.0,0.0,0.0
Heating_Floor,0.0,0.0,0.0,0.0,0.0
Heating_GasA,0.0,0.0,0.0,0.0,0.0
Heating_GasW,-0.0,-0.0,-0.0,-0.0,-0.0
Heating_Grav,0.0,0.0,0.0,0.0,0.0
Heating_OthW,-0.0,-0.0,-0.0,-0.0,-0.0
Heating_Wall,0.0,0.0,0.0,0.0,0.0
HeatingQC_Ex,1957.8994338171824,1955.4799149873998,1910.141332550578,1814.8036094963043,1709.671967354813
HeatingQC_Fa,0.0,0.0,0.0,0.0,0.0
HeatingQC_Gd,-0.0,-0.0,-0.0,-0.0,-0.0
HeatingQC_Po,-0.0,-0.0,-0.0,-0.0,-0.0
HeatingQC_TA,-0.0,-0.0,-0.0,-0.0,-0.0
CentralAir_N,-0.0,-0.0,-0.0,-0.0,-0.0
CentralAir_Y,0.0,0.0,0.0,0.0,0.0
Electrical_FuseA,-0.0,-0.0,-0.0,-0.0,-0.0
Electrical_FuseF,-0.0,-0.0,-0.0,-0.0,-0.0
Electrical_FuseP,-0.0,-0.0,-0.0,-0.0,-0.0
Electrical_Mix,-0.0,-0.0,-0.0,-0.0,-0.0
Electrical_SBrkr,0.0,0.0,0.0,0.0,0.0
KitchenQual_Ex,21736.998658426095,20686.25546125479,19653.81106416536,18755.384518135208,17736.20473287141
KitchenQual_Fa,0.0,0.0,0.0,0.0,0.0
KitchenQual_Gd,-0.0,-0.0,-0.0,-0.0,-0.0
KitchenQual_TA,-2248.6421187117357,-2254.172765434423,-2295.5513243128476,-2370.774423394767,-2388.973601724569
Functional_Maj1,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Maj2,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Min1,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Min2,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Mod,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Sev,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Typ,0.0,0.0,0.0,0.0,0.0
FireplaceQu_Ex,0.0,0.0,0.0,0.0,0.0
FireplaceQu_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
FireplaceQu_Gd,0.0,0.0,0.0,0.0,0.0
FireplaceQu_Po,-0.0,-0.0,-0.0,-0.0,-0.0
FireplaceQu_TA,-0.0,-0.0,-0.0,-0.0,-0.0
GarageType_2Types,-0.0,-0.0,-0.0,-0.0,-0.0
GarageType_Attchd,0.0,0.0,0.0,0.0,0.0
GarageType_Basment,-0.0,-0.0,-0.0,-0.0,-0.0
GarageType_BuiltIn,0.0,0.0,0.0,0.0,0.0
GarageType_CarPort,-0.0,-0.0,-0.0,-0.0,-0.0
GarageType_Detchd,-0.0,-0.0,-0.0,-0.0,-0.0
GarageFinish_Fin,0.0,0.0,0.0,0.0,0.0
GarageFinish_RFn,-0.0,-0.0,-0.0,-0.0,-0.0
GarageFinish_Unf,-887.30556090138,-693.7876862853093,-551.0339537689126,-424.6087669258625,-270.58717631534756
GarageQual_Ex,0.0,0.0,0.0,0.0,0.0
GarageQual_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
GarageQual_Gd,0.0,0.0,0.0,0.0,0.0
GarageQual_Po,-0.0,-0.0,-0.0,-0.0,-0.0
GarageQual_TA,-0.0,-0.0,-0.0,-0.0,-0.0
GarageCond_Ex,0.0,0.0,0.0,0.0,0.0
GarageCond_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
GarageCond_Gd,-0.0,-0.0,-0.0,-0.0,-0.0
GarageCond_Po,-0.0,-0.0,-0.0,-0.0,-0.0
GarageCond_TA,-0.0,-0.0,-0.0,-0.0,-0.0
PavedDrive_N,-0.0,-0.0,-0.0,-0.0,-0.0
PavedDrive_P,-0.0,-0.0,-0.0,-0.0,-0.0
PavedDrive_Y,0.0,0.0,0.0,0.0,0.0
PoolQC_Ex,0.0,0.0,0.0,0.0,0.0
PoolQC_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
PoolQC_Gd,-0.0,-0.0,-0.0,-0.0,-0.0
Fence_GdPrv,-0.0,-0.0,-0.0,-0.0,-0.0
Fence_GdWo,-0.0,-0.0,-0.0,-0.0,-0.0
Fence_MnPrv,0.0,0.0,0.0,0.0,-0.0
Fence_MnWw,-0.0,-0.0,-0.0,-0.0,-0.0
MiscFeature_Gar2,-0.0,-0.0,-0.0,-0.0,-0.0
MiscFeature_Othr,-0.0,-0.0,-0.0,-0.0,-0.0
MiscFeature_Shed,-0.0,-0.0,-0.0,-0.0,-0.0
MiscFeature_TenC,-0.0,-0.0,-0.0,-0.0,-0.0
SaleType_COD,-0.0,-0.0,-0.0,-0.0,-0.0
SaleType_CWD,0.0,0.0,0.0,0.0,0.0
SaleType_Con,0.0,0.0,0.0,0.0,0.0
SaleType_ConLD,0.0,-0.0,-0.0,-0.0,-0.0
SaleType_ConLI,0.0,0.0,0.0,0.0,0.0
SaleType_ConLw,-0.0,0.0,0.0,0.0,0.0
SaleType_New,4754.629967687448,3432.69169890935,2204.313740518736,1142.7749015770994,53.02272285682527
SaleType_Oth,0.0,0.0,0.0,0.0,0.0
SaleType_WD,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_Abnorml,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_AdjLand,0.0,0.0,0.0,0.0,0.0
SaleCondition_Alloca,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_Family,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_Normal,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_Partial,0.0,0.0,0.0,0.0,0.0
