Feature Name,Alpha = 1000.000000,Alpha = 2000.000000,Alpha = 3000.000000,Alpha = 4000.000000,Alpha = 5000.000000
PavedDrive_N,-0.0,-0.0,-0.0,-0.0,-0.0
PavedDrive_P,-0.0,-0.0,-0.0,-0.0,-0.0
PavedDrive_Y,0.0,0.0,0.0,0.0,0.0
PoolQC_Ex,0.0,0.0,0.0,0.0,0.0
PoolQC_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
PoolQC_Gd,-0.0,-0.0,-0.0,-0.0,-0.0
Fence_GdPrv,-0.0,-0.0,-0.0,-0.0,-0.0
Fence_GdWo,-0.0,-0.0,-0.0,-0.0,-0.0
Fence_MnPrv,0.0,-0.0,-0.0,-0.0,-0.0
Fence_MnWw,-0.0,-0.0,-0.0,-0.0,-0.0
MiscFeature_Gar2,-0.0,-0.0,-0.0,-0.0,-0.0
MiscFeature_Othr,0.0,0.0,0.0,0.0,0.0
MiscFeature_Shed,-0.0,-0.0,-0.0,-0.0,-0.0
MiscFeature_TenC,-0.0,-0.0,-0.0,-0.0,-0.0
SaleType_COD,-0.0,-0.0,-0.0,-0.0,-0.0
SaleType_CWD,0.0,0.0,0.0,0.0,0.0
SaleType_Con,0.0,0.0,0.0,0.0,0.0
SaleType_ConLD,-0.0,-0.0,-0.0,-0.0,-0.0
SaleType_ConLI,0.0,0.0,0.0,0.0,0.0
SaleType_ConLw,0.0,0.0,0.0,0.0,0.0
SaleType_New,1785.4668708043098,0.0,0.0,0.0,0.0
SaleType_Oth,0.0,0.0,0.0,0.0,0.0
SaleType_WD,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_Abnorml,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_AdjLand,0.0,0.0,0.0,0.0,-0.0
SaleCondition_Alloca,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_Family,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_Normal,-0.0,-0.0,-0.0,-0.0,-0.0
SaleCondition_Partial,0.0,0.0,0.0,0.0,0.0
